Year,State,District,Quarter,House_Type,Interest_Rate,Inflation_Rate,GDP,Unemployment_Rate,Population,House_Overhang,House_Price,House_Supply
2015,Johor,Mersing,3,Cluster House,3.21,3.83,297965,3.1,270.2,0,,0
2015,Johor,Mersing,3,Condominium,3.21,3.83,297965,3.1,270.2,0,,0
2015,Johor,Mersing,3,Detached House,3.21,3.83,297965,3.1,270.2,0,160000,1674
2015,Johor,Mersing,3,Flat,3.21,3.83,297965,3.1,270.2,0,,0
2015,Johor,Mersing,3,Semi-Detached House,3.21,3.83,297965,3.1,270.2,0,350000,214
2015,Johor,Mersing,3,Terraced House,3.21,3.83,297965,3.1,270.2,0,210000,2277
2015,Johor,Mersing,3,Town House,3.21,3.83,297965,3.1,270.2,0,,0
2015,Johor,Mersing,4,Cluster House,3.16,3.6,307745,3.1,270.2,0,,0
2015,Johor,Mersing,4,Condominium,3.16,3.6,307745,3.1,270.2,0,,0
2015,Johor,Mersing,4,Detached House,3.16,3.6,307745,3.1,270.2,0,190000,1674
2015,Johor,Mersing,4,Flat,3.16,3.6,307745,3.1,270.2,0,,0
2015,Johor,Mersing,4,Semi-Detached House,3.16,3.6,307745,3.1,270.2,0,,214
2015,Johor,Mersing,4,Terraced House,3.16,3.6,307745,3.1,270.2,0,185000,2277
2015,Johor,Mersing,4,Town House,3.16,3.6,307745,3.1,270.2,0,,0
2015,Johor,Muar,1,Cluster House,3.24,1.1,282255,3.1,170.5,0,145000,0
2015,Johor,Muar,1,Condominium,3.24,1.1,282255,3.1,170.5,0,155000,0
2015,Johor,Muar,1,Detached House,3.24,1.1,282255,3.1,170.5,0,210000,16895
2015,Johor,Muar,1,Flat,3.24,1.1,282255,3.1,170.5,0,130000,177
2015,Johor,Muar,1,Semi-Detached House,3.24,1.1,282255,3.1,170.5,8,345000,8442
2015,Johor,Muar,1,Terraced House,3.24,1.1,282255,3.1,170.5,24,250000,14271
2015,Johor,Muar,1,Town House,3.24,1.1,282255,3.1,170.5,0,,0
2015,Johor,Muar,2,Cluster House,3.23,2.8,288975,3.1,170.5,0,122500,0
2015,Johor,Muar,2,Condominium,3.23,2.8,288975,3.1,170.5,0,150000,1228
2015,Johor,Muar,2,Detached House,3.23,2.8,288975,3.1,170.5,0,310000,16895
2015,Johor,Muar,2,Flat,3.23,2.8,288975,3.1,170.5,0,113000,177
2015,Johor,Muar,2,Semi-Detached House,3.23,2.8,288975,3.1,170.5,0,320000,8480
2015,Johor,Muar,2,Terraced House,3.23,2.8,288975,3.1,170.5,16,255000,14304
2015,Johor,Muar,2,Town House,3.23,2.8,288975,3.1,170.5,0,,0
2015,Johor,Muar,3,Cluster House,3.21,3.83,297965,3.1,170.5,0,,0
2015,Johor,Muar,3,Condominium,3.21,3.83,297965,3.1,170.5,0,158500,1228
2015,Johor,Muar,3,Detached House,3.21,3.83,297965,3.1,170.5,0,260000,16895
2015,Johor,Muar,3,Flat,3.21,3.83,297965,3.1,170.5,0,104000,177
2015,Johor,Muar,3,Semi-Detached House,3.21,3.83,297965,3.1,170.5,0,330000,8480
2015,Johor,Muar,3,Terraced House,3.21,3.83,297965,3.1,170.5,6,260000,14304
2015,Johor,Muar,3,Town House,3.21,3.83,297965,3.1,170.5,0,,0
2015,Johor,Muar,4,Cluster House,3.16,3.6,307745,3.1,170.5,0,420000,0
2015,Johor,Muar,4,Condominium,3.16,3.6,307745,3.1,170.5,0,,1228
2015,Johor,Muar,4,Detached House,3.16,3.6,307745,3.1,170.5,0,445000,16895
2015,Johor,Muar,4,Flat,3.16,3.6,307745,3.1,170.5,0,119500,177
2015,Johor,Muar,4,Semi-Detached House,3.16,3.6,307745,3.1,170.5,0,340000,8514
2015,Johor,Muar,4,Terraced House,3.16,3.6,307745,3.1,170.5,14,298000,14378
2015,Johor,Muar,4,Town House,3.16,3.6,307745,3.1,170.5,0,,0
2015,Johor,Pontian,1,Cluster House,3.24,1.1,282255,3.1,207.1,0,,72
2015,Johor,Pontian,1,Condominium,3.24,1.1,282255,3.1,207.1,0,,0
2015,Johor,Pontian,1,Detached House,3.24,1.1,282255,3.1,207.1,0,157500,7063
2015,Johor,Pontian,1,Flat,3.24,1.1,282255,3.1,207.1,0,,148
2015,Johor,Pontian,1,Semi-Detached House,3.24,1.1,282255,3.1,207.1,0,350000,2214
2015,Johor,Pontian,1,Terraced House,3.24,1.1,282255,3.1,207.1,0,224000,7010
2015,Johor,Pontian,1,Town House,3.24,1.1,282255,3.1,207.1,0,,0
2015,Johor,Pontian,2,Cluster House,3.23,2.8,288975,3.1,207.1,0,,72
2015,Johor,Pontian,2,Condominium,3.23,2.8,288975,3.1,207.1,0,,0
2015,Johor,Pontian,2,Detached House,3.23,2.8,288975,3.1,207.1,0,280000,7063
2015,Johor,Pontian,2,Flat,3.23,2.8,288975,3.1,207.1,0,,148
2015,Johor,Pontian,2,Semi-Detached House,3.23,2.8,288975,3.1,207.1,0,385550,2214
2015,Johor,Pontian,2,Terraced House,3.23,2.8,288975,3.1,207.1,0,250000,7010
2015,Johor,Pontian,2,Town House,3.23,2.8,288975,3.1,207.1,0,,0
2015,Johor,Pontian,3,Cluster House,3.21,3.83,297965,3.1,207.1,0,,72
2015,Johor,Pontian,3,Condominium,3.21,3.83,297965,3.1,207.1,0,,0
2015,Johor,Pontian,3,Detached House,3.21,3.83,297965,3.1,207.1,0,180000,7063
2015,Johor,Pontian,3,Flat,3.21,3.83,297965,3.1,207.1,0,,148
2015,Johor,Pontian,3,Semi-Detached House,3.21,3.83,297965,3.1,207.1,0,255000,2214
2015,Johor,Pontian,3,Terraced House,3.21,3.83,297965,3.1,207.1,9,200000,7010
2015,Johor,Pontian,3,Town House,3.21,3.83,297965,3.1,207.1,0,,0
2015,Johor,Pontian,4,Cluster House,3.16,3.6,307745,3.1,207.1,0,,72
2015,Johor,Pontian,4,Condominium,3.16,3.6,307745,3.1,207.1,0,,0
2015,Johor,Pontian,4,Detached House,3.16,3.6,307745,3.1,207.1,0,164000,7063
2015,Johor,Pontian,4,Flat,3.16,3.6,307745,3.1,207.1,0,,148
2015,Johor,Pontian,4,Semi-Detached House,3.16,3.6,307745,3.1,207.1,0,200000,2214
2015,Johor,Pontian,4,Terraced House,3.16,3.6,307745,3.1,207.1,7,234000,7035
2015,Johor,Pontian,4,Town House,3.16,3.6,307745,3.1,207.1,0,,0
2015,Johor,Segamat,1,Cluster House,3.24,1.1,282255,3.1,275.9,0,388800,40
2015,Johor,Segamat,1,Condominium,3.24,1.1,282255,3.1,275.9,0,,0
2015,Johor,Segamat,1,Detached House,3.24,1.1,282255,3.1,275.9,0,230000,8020
2015,Johor,Segamat,1,Flat,3.24,1.1,282255,3.1,275.9,0,,30
2015,Johor,Segamat,1,Semi-Detached House,3.24,1.1,282255,3.1,275.9,0,359000,3058
2015,Johor,Segamat,1,Terraced House,3.24,1.1,282255,3.1,275.9,0,180000,17115
2015,Johor,Segamat,1,Town House,3.24,1.1,282255,3.1,275.9,0,,0
2015,Johor,Segamat,2,Cluster House,3.23,2.8,288975,3.1,275.9,0,,40
2015,Johor,Segamat,2,Condominium,3.23,2.8,288975,3.1,275.9,0,,0
2015,Johor,Segamat,2,Detached House,3.23,2.8,288975,3.1,275.9,0,160000,8020
2015,Johor,Segamat,2,Flat,3.23,2.8,288975,3.1,275.9,0,,30
2015,Johor,Segamat,2,Semi-Detached House,3.23,2.8,288975,3.1,275.9,0,360000,3058
